Year,Aldur,Kyn,Value
2005,Yngri en 15 ára,,16
2006,Yngri en 15 ára,,16
2007,Yngri en 15 ára,,15
2008,Yngri en 15 ára,,14
2009,Yngri en 15 ára,,11
2010,Yngri en 15 ára,,9
2011,Yngri en 15 ára,,8
2012,Yngri en 15 ára,,8
2013,Yngri en 15 ára,,8
2014,Yngri en 15 ára,,8
2015,Yngri en 15 ára,,8
2016,Yngri en 15 ára,,8
2017,Yngri en 15 ára,,9
2018,Yngri en 15 ára,,9
2019,Yngri en 15 ára,,8
2020,Yngri en 15 ára,,8
2021,Yngri en 15 ára,,7
2022,Yngri en 15 ára,,8
2005,15 - 19 ára,,85
2006,15 - 19 ára,,88
2007,15 - 19 ára,,89
2008,15 - 19 ára,,86
2009,15 - 19 ára,,78
2010,15 - 19 ára,,75
2011,15 - 19 ára,,74
2012,15 - 19 ára,,75
2013,15 - 19 ára,,73
2014,15 - 19 ára,,73
2015,15 - 19 ára,,73
2016,15 - 19 ára,,74
2017,15 - 19 ára,,74
2018,15 - 19 ára,,72
2019,15 - 19 ára,,69
2020,15 - 19 ára,,63
2021,15 - 19 ára,,63
2022,15 - 19 ára,,67
2005,Alls,,101
2006,Alls,,104
2007,Alls,,104
2008,Alls,,100
2009,Alls,,89
2010,Alls,,84
2011,Alls,,82
2012,Alls,,83
2013,Alls,,81
2014,Alls,,81
2015,Alls,,81
2016,Alls,,82
2017,Alls,,83
2018,Alls,,80
2019,Alls,,77
2020,Alls,,71
2021,Alls,,70
2022,Alls,,75
2005,Yngri en 15 ára,Karl,16
2006,Yngri en 15 ára,Karl,15
2007,Yngri en 15 ára,Karl,14
2008,Yngri en 15 ára,Karl,13
2009,Yngri en 15 ára,Karl,10
2010,Yngri en 15 ára,Karl,9
2011,Yngri en 15 ára,Karl,8
2012,Yngri en 15 ára,Karl,8
2013,Yngri en 15 ára,Karl,8
2014,Yngri en 15 ára,Karl,8
2015,Yngri en 15 ára,Karl,7
2016,Yngri en 15 ára,Karl,8
2017,Yngri en 15 ára,Karl,8
2018,Yngri en 15 ára,Karl,8
2019,Yngri en 15 ára,Karl,7
2020,Yngri en 15 ára,Karl,8
2021,Yngri en 15 ára,Karl,7
2022,Yngri en 15 ára,Karl,7
2005,15 - 19 ára,Karl,77
2006,15 - 19 ára,Karl,79
2007,15 - 19 ára,Karl,79
2008,15 - 19 ára,Karl,75
2009,15 - 19 ára,Karl,67
2010,15 - 19 ára,Karl,66
2011,15 - 19 ára,Karl,66
2012,15 - 19 ára,Karl,66
2013,15 - 19 ára,Karl,65
2014,15 - 19 ára,Karl,65
2015,15 - 19 ára,Karl,65
2016,15 - 19 ára,Karl,65
2017,15 - 19 ára,Karl,66
2018,15 - 19 ára,Karl,63
2019,15 - 19 ára,Karl,60
2020,15 - 19 ára,Karl,55
2021,15 - 19 ára,Karl,55
2022,15 - 19 ára,Karl,59
2005,Alls,Karl,93
2006,Alls,Karl,94
2007,Alls,Karl,92
2008,Alls,Karl,88
2009,Alls,Karl,78
2010,Alls,Karl,75
2011,Alls,Karl,74
2012,Alls,Karl,75
2013,Alls,Karl,72
2014,Alls,Karl,73
2015,Alls,Karl,72
2016,Alls,Karl,73
2017,Alls,Karl,74
2018,Alls,Karl,71
2019,Alls,Karl,68
2020,Alls,Karl,63
2021,Alls,Karl,61
2022,Alls,Karl,67
2005,Yngri en 15 ára,Kona,16
2006,Yngri en 15 ára,Kona,16
2007,Yngri en 15 ára,Kona,17
2008,Yngri en 15 ára,Kona,15
2009,Yngri en 15 ára,Kona,11
2010,Yngri en 15 ára,Kona,9
2011,Yngri en 15 ára,Kona,8
2012,Yngri en 15 ára,Kona,8
2013,Yngri en 15 ára,Kona,8
2014,Yngri en 15 ára,Kona,8
2015,Yngri en 15 ára,Kona,8
2016,Yngri en 15 ára,Kona,8
2017,Yngri en 15 ára,Kona,9
2018,Yngri en 15 ára,Kona,9
2019,Yngri en 15 ára,Kona,9
2020,Yngri en 15 ára,Kona,8
2021,Yngri en 15 ára,Kona,8
2022,Yngri en 15 ára,Kona,9
2005,15 - 19 ára,Kona,95
2006,15 - 19 ára,Kona,100
2007,15 - 19 ára,Kona,101
2008,15 - 19 ára,Kona,99
2009,15 - 19 ára,Kona,90
2010,15 - 19 ára,Kona,85
2011,15 - 19 ára,Kona,83
2012,15 - 19 ára,Kona,84
2013,15 - 19 ára,Kona,82
2014,15 - 19 ára,Kona,82
2015,15 - 19 ára,Kona,82
2016,15 - 19 ára,Kona,83
2017,15 - 19 ára,Kona,84
2018,15 - 19 ára,Kona,81
2019,15 - 19 ára,Kona,78
2020,15 - 19 ára,Kona,72
2021,15 - 19 ára,Kona,73
2022,15 - 19 ára,Kona,76
2005,Alls,Kona,110
2006,Alls,Kona,116
2007,Alls,Kona,118
2008,Alls,Kona,114
2009,Alls,Kona,101
2010,Alls,Kona,94
2011,Alls,Kona,91
2012,Alls,Kona,92
2013,Alls,Kona,90
2014,Alls,Kona,91
2015,Alls,Kona,90
2016,Alls,Kona,92
2017,Alls,Kona,93
2018,Alls,Kona,91
2019,Alls,Kona,87
2020,Alls,Kona,81
2021,Alls,Kona,80
2022,Alls,Kona,84
